5x5
J=1.0;h=0.0;kT=2.7
t E M
7510016 100.0 25.0
7511040 84.0 23.0
7512064 100.0 25.0
7513088 100.0 25.0
7514112 100.0 25.0
7515136 100.0 25.0
7516160 100.0 25.0
7517184 84.0 23.0
7518208 100.0 25.0
7519232 100.0 25.0
7520256 100.0 25.0
7521280 100.0 25.0
7522304 100.0 25.0
7523328 100.0 25.0
7524352 100.0 25.0
7525376 100.0 25.0
7526400 100.0 25.0
7527424 100.0 25.0
7528448 100.0 25.0
7529472 100.0 25.0
7530496 100.0 25.0
7531520 100.0 25.0
7532544 100.0 25.0
7533568 100.0 25.0
7534592 100.0 25.0
7535616 100.0 25.0
7536640 100.0 25.0
7537664 100.0 25.0
7538688 100.0 25.0
7539712 100.0 25.0
7540736 100.0 25.0
7541760 100.0 25.0
7542784 100.0 25.0
7543808 84.0 23.0
7544832 100.0 25.0
7545856 100.0 25.0
7546880 100.0 25.0
7547904 100.0 25.0
7548928 100.0 25.0
7549952 100.0 25.0
7550976 100.0 25.0
7552000 100.0 25.0
7553024 100.0 25.0
7554048 100.0 25.0
7555072 100.0 25.0
7556096 100.0 25.0
7557120 100.0 25.0
7558144 100.0 25.0
7559168 100.0 25.0
7560192 84.0 23.0
7561216 84.0 23.0
7562240 100.0 25.0
7563264 100.0 25.0
7564288 100.0 25.0
7565312 100.0 25.0
7566336 100.0 25.0
7567360 100.0 25.0
7568384 100.0 25.0
7569408 100.0 25.0
7570432 100.0 25.0
7571456 100.0 25.0
7572480 100.0 25.0
7573504 100.0 25.0
7574528 100.0 25.0
7575552 100.0 25.0
7576576 100.0 25.0
7577600 100.0 25.0
7578624 100.0 25.0
7579648 100.0 25.0
7580672 100.0 25.0
7581696 100.0 25.0
7582720 100.0 25.0
7583744 100.0 25.0
7584768 100.0 25.0
7585792 100.0 25.0
7586816 100.0 25.0
7587840 84.0 23.0
7588864 100.0 25.0
7589888 100.0 25.0
7590912 100.0 25.0
7591936 100.0 25.0
7592960 100.0 25.0
7593984 100.0 25.0
7595008 100.0 25.0
7596032 100.0 25.0
7597056 100.0 25.0
7598080 100.0 25.0
7599104 100.0 25.0
7600128 100.0 25.0
7601152 100.0 25.0
7602176 100.0 25.0
7603200 100.0 25.0
7604224 100.0 25.0
7605248 100.0 25.0
7606272 100.0 25.0
7607296 100.0 25.0
7608320 100.0 25.0
7609344 100.0 25.0
7610368 100.0 25.0
7611392 100.0 25.0
7612416 100.0 25.0
7613440 100.0 25.0
7614464 100.0 25.0
7615488 84.0 23.0
7616512 100.0 25.0
7617536 100.0 25.0
7618560 100.0 25.0
7619584 100.0 25.0
7620608 100.0 25.0
7621632 100.0 25.0
7622656 100.0 25.0
7623680 100.0 25.0
7624704 76.0 21.0
7625728 100.0 25.0
7626752 100.0 25.0
7627776 100.0 25.0
7628800 100.0 25.0
7629824 100.0 25.0
7630848 100.0 25.0
7631872 100.0 25.0
7632896 100.0 25.0
7633920 84.0 23.0
7634944 100.0 25.0
7635968 100.0 25.0
7636992 100.0 25.0
7638016 84.0 23.0
7639040 100.0 25.0
7640064 100.0 25.0
7641088 100.0 25.0
7642112 100.0 25.0
